source,model,config,suite,n,successes,success,steps,episode_s,step_ms,calls,query_ms
results_corrected/cogact_base_simplerenv_fractal/temporal_fusion_motion_entropy/google_robot_open_drawer/summary.json,cogact_base_simplerenv_fractal,temporal_fusion_motion_entropy,google_robot_open_drawer,50,37,74.0,50.96,9.473516088949982,185.90102215364956,50.96,109.6379102943403
results_corrected/cogact_base_simplerenv_fractal/temporal_fusion_motion_entropy/google_robot_pick_coke_can/summary.json,cogact_base_simplerenv_fractal,temporal_fusion_motion_entropy,google_robot_pick_coke_can,50,48,96.0,21.22,3.749955168319866,176.71796269179387,21.22,112.74233245217083
results_corrected/cogact_base_simplerenv_fractal/temporal_fusion_motion_entropy/google_robot_place_apple_in_closed_top_drawer/summary.json,cogact_base_simplerenv_fractal,temporal_fusion_motion_entropy,google_robot_place_apple_in_closed_top_drawer,50,0,0.0,80.0,13.658540898356586,170.73176122945733,80.0,100.42028866292094
results_corrected/cogact_base_simplerenv_fractal/temporal_fusion_task_aware/google_robot_close_drawer/summary.json,cogact_base_simplerenv_fractal,temporal_fusion_task_aware,google_robot_close_drawer,50,31,62.0,48.42,8.579513922266196,177.1894655569227,48.42,100.58873158596643
results_corrected/cogact_base_simplerenv_fractal/temporal_fusion_task_aware/google_robot_move_near/summary.json,cogact_base_simplerenv_fractal,temporal_fusion_task_aware,google_robot_move_near,50,46,92.0,22.76,3.676646339369472,161.53982158916838,22.76,101.15088135685758
results_corrected/cogact_base_simplerenv_fractal/temporal_fusion_task_aware/google_robot_open_drawer/summary.json,cogact_base_simplerenv_fractal,temporal_fusion_task_aware,google_robot_open_drawer,50,37,74.0,50.96,8.90836615192471,174.81095274577532,50.96,100.08360372831221
results_corrected/cogact_base_simplerenv_fractal/temporal_fusion_task_aware/google_robot_pick_coke_can/summary.json,cogact_base_simplerenv_fractal,temporal_fusion_task_aware,google_robot_pick_coke_can,50,48,96.0,21.22,3.4663134892191736,163.35124831381592,21.22,100.1488703732492
results_corrected/cogact_base_simplerenv_fractal/temporal_fusion_task_aware/google_robot_place_apple_in_closed_top_drawer/summary.json,cogact_base_simplerenv_fractal,temporal_fusion_task_aware,google_robot_place_apple_in_closed_top_drawer,50,0,0.0,80.0,13.578687941220123,169.73359926525154,80.0,99.95812770078192
results_corrected/cronusvla_simplerenv_bridge/action_repeat2/widowx_carrot_on_plate/summary.json,cronusvla_simplerenv_bridge,action_repeat2,widowx_carrot_on_plate,50,2,4.0,59.6,4.8437086706259285,81.27027970848874,29.82,nan
results_corrected/cronusvla_simplerenv_bridge/action_repeat2/widowx_put_eggplant_in_basket/summary.json,cronusvla_simplerenv_bridge,action_repeat2,widowx_put_eggplant_in_basket,50,4,8.0,114.56,10.344523258409463,90.29786363835076,57.3,nan
results_corrected/cronusvla_simplerenv_bridge/action_repeat2/widowx_spoon_on_towel/summary.json,cronusvla_simplerenv_bridge,action_repeat2,widowx_spoon_on_towel,50,1,2.0,59.42,4.853812147094868,81.68650533650064,29.72,nan
results_corrected/cronusvla_simplerenv_bridge/action_repeat2/widowx_stack_cube/summary.json,cronusvla_simplerenv_bridge,action_repeat2,widowx_stack_cube,50,0,0.0,60.0,4.827323208095041,80.455386801584,30.0,nan
